Event,Waveform,chirp_mass,mass_1_source,mass_2_source,luminosity_distance,redshift,ra,dec,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,network_matched_filter_snr
GW230702_185453,C00:NRSur7dq4,32.98746,43.11547,17.80093,2534.48528,0.44018,2.95107,0.09521,0.35643,0.49853,1.41011,1.40155,3.1582,3.17695,1.58209,1.58634,3.21042,10.41022
GW230702_185453,C00:SEOBNRv5PHM,33.02865,40.74483,19.38786,2346.12473,0.41236,2.94174,0.10305,0.41464,0.47545,1.50529,1.47402,3.18817,3.20639,1.6061,1.55064,3.21177,10.48788
GW240104_164932,C00:IMRPhenomXPHM-SpinTaylor,43.58534,43.23892,32.58992,1937.15819,0.35069,2.99527,0.00788,0.5648,0.51013,1.3183,1.40085,3.31263,3.14116,1.54153,1.57197,3.21862,15.42491
GW240104_164932,C00:Mixed,42.9798,42.7862,32.16522,1916.96508,0.34749,2.99384,0.00582,0.52862,0.48436,1.38704,1.41791,3.23755,3.28954,1.58544,1.57547,3.10087,15.42203
GW240104_164932,C00:NRSur7dq4,42.59385,42.45043,31.60281,1953.88772,0.35321,3.00189,0.00175,0.51354,0.46378,1.44123,1.38183,3.1445,3.36367,1.60931,1.57798,3.05999,15.4384
GW240104_164932,C00:SEOBNRv5PHM,42.75857,42.68018,32.30613,1858.29741,0.33832,2.97928,0.0048,0.50671,0.47941,1.40321,1.46899,3.24851,3.364,1.60931,1.57937,3.01086,15.40271
GW231221_135041,C00:IMRPhenomXO4a,53.13562,49.28348,27.12953,4856.14046,0.7521,4.57342,-0.64255,0.6412,0.48661,1.52125,1.58905,3.13289,3.04431,1.60734,1.58256,2.73884,8.61029
GW231221_135041,C00:IMRPhenomXPHM-SpinTaylor,54.01946,49.37455,28.90069,4623.41388,0.72165,4.57679,-0.61916,0.59178,0.5067,1.48148,1.60262,3.26092,2.98124,1.65419,1.59991,2.50472,8.53699
GW231221_135041,C00:Mixed,53.73319,50.03246,28.55186,4552.57203,0.71264,4.5787,-0.61318,0.59331,0.50248,1.52527,1.61928,3.22759,2.93222,1.65916,1.61577,2.84338,8.54779
GW231221_135041,C00:Mixed+XO4a,53.53842,49.77387,28.07988,4655.56329,0.72602,4.57657,-0.62277,0.60931,0.49723,1.52343,1.60954,3.1961,2.96863,1.64221,1.60435,2.80687,8.56856
GW231221_135041,C00:SEOBNRv5PHM,53.45087,50.70418,28.19431,4484.34809,0.70394,4.57843,-0.60881,0.59554,0.49809,1.56829,1.63593,3.19149,2.89019,1.66167,1.63121,3.18328,8.55909
GW230731_215307,C00:IMRPhenomXPHM-SpinTaylor,9.45815,10.59677,7.74607,1087.24446,0.21288,3.72779,-0.04692,0.33168,0.39758,1.66195,1.69825,3.19705,3.12949,1.58599,1.57999,3.24414,12.1708
GW230731_215307,C00:Mixed,9.45472,10.62369,7.73837,1080.82938,0.21173,3.73661,-0.09309,0.32956,0.40911,1.68057,1.69324,3.1782,3.12341,1.59038,1.58963,3.17307,12.16367
GW230731_215307,C00:SEOBNRv5PHM,9.45139,10.6428,7.73355,1075.55468,0.21078,3.73799,-0.13887,0.32798,0.41989,1.70498,1.68609,3.15144,3.11763,1.59351,1.60008,3.10422,12.15554
GW231119_075248,C00:IMRPhenomXPHM-SpinTaylor,69.03895,50.04808,34.07911,6822.55528,0.99146,2.84424,-0.03524,0.45384,0.4711,1.58327,1.58372,3.13006,3.15018,1.61456,1.58539,2.96865,8.40238
GW231119_075248,C00:Mixed,68.80095,49.64569,34.06104,6813.9651,0.99065,2.83666,-0.03949,0.44011,0.46902,1.59781,1.5865,3.1367,3.14831,1.615,1.58685,3.08593,8.40877
GW231119_075248,C00:NRSur7dq4,68.50999,49.49492,34.05023,6763.0863,0.98468,2.82813,-0.03809,0.42031,0.46538,1.60733,1.58175,3.14831,3.14761,1.62603,1.59465,3.14336,8.40276
GW231119_075248,C00:SEOBNRv5PHM,68.83513,49.41203,34.06467,6846.70166,0.99471,2.84425,-0.04309,0.44595,0.4703,1.60282,1.59597,3.12563,3.13787,1.60127,1.57979,3.14034,8.42089
GW230707_124047,C00:IMRPhenomXPHM-SpinTaylor,60.3361,46.58772,36.55873,4487.25315,0.708,3.0733,-0.02824,0.48184,0.48566,1.63223,1.70988,3.14567,3.17103,1.61126,1.57312,3.04987,11.61192
GW230707_124047,C00:Mixed,60.32441,46.66026,37.04893,4389.88563,0.69496,3.06372,-0.01854,0.47057,0.47981,1.67285,1.71506,3.12992,3.16122,1.62231,1.57714,3.23767,11.62956
GW230707_124047,C00:NRSur7dq4,60.1519,46.47631,36.99211,4395.74406,0.69551,3.07037,-0.0195,0.46146,0.47112,1.699,1.72574,3.11027,3.15269,1.63826,1.58763,3.32695,11.63664
GW230707_124047,C00:SEOBNRv5PHM,60.49565,46.90084,37.60226,4290.41553,0.68184,3.04676,-0.00873,0.46903,0.48246,1.68625,1.71079,3.12457,3.16186,1.62052,1.57044,3.33017,11.64022
GW231223_075055,C00:IMRPhenomXO4a,9.28513,12.77777,6.72959,978.07711,0.19302,2.88974,-0.79505,0.43377,0.45653,1.31666,1.51072,3.16022,2.95878,1.02894,1.60767,3.42893,8.95633
GW231223_075055,C00:IMRPhenomXPHM-SpinTaylor,9.31133,12.71376,6.7786,987.65664,0.19474,2.88102,-0.77089,0.43299,0.45132,1.27287,1.50689,3.13707,3.16792,1.05137,1.5969,3.33289,8.89905
GW231223_075055,C00:Mixed,9.30594,12.70155,6.78938,985.94038,0.19442,2.87251,-0.77297,0.43784,0.45516,1.29886,1.48965,3.14415,3.17737,1.03907,1.60048,3.24053,8.9132
GW231223_075055,C00:Mixed+XO4a,9.2989,12.73072,6.76779,983.3995,0.19397,2.87766,-0.7803,0.43658,0.45556,1.30498,1.49554,3.15057,3.10492,1.03545,1.60293,3.30227,8.92755
GW231223_075055,C00:SEOBNRv5PHM,9.30116,12.68381,6.8035,984.18594,0.1941,2.86708,-0.77543,0.44259,0.45949,1.32422,1.47416,3.15528,3.18301,1.02921,1.60051,3.15605,8.92578
GW230811_032116,C00:IMRPhenomXPHM-SpinTaylor,33.12469,36.09508,22.32977,2034.7523,0.36582,1.85907,-0.32687,0.43255,0.46094,1.41319,1.67656,3.17459,3.21455,1.60958,1.36946,1.58155,14.00024
GW230811_032116,C00:Mixed,33.11984,36.64945,22.01598,2037.70857,0.36642,1.84335,-0.32223,0.47365,0.46394,1.43314,1.6748,3.18329,3.28696,1.57239,1.37259,2.59266,14.04254
